,songid,week_position,year,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,#BeautifulMariah Carey Featuring Miguel,15,2013,Mariah Carey Featuring Miguel,#Beautiful,"['dance pop', 'pop', 'r&b', 'urban contemporary']",617KSbx52ACbnQBxSsG26X,,Me. I Am Mariah…The Elusive Chanteuse (Deluxe),False,199866.0,56.0,0.677,0.7490000000000001,4.0,-5.405,True,0.0391,0.34600000000000003,0.0,0.34700000000000003,0.469,107.042,4.0
1,#SELFIEThe Chainsmokers,16,2014,The Chainsmokers,#SELFIE,"['electropop', 'pop', 'tropical house']",1HOlb9rdNOmy9b1Fakicjo,,#SELFIE,False,183750.0,65.0,0.807,0.9159999999999999,0.0,-3.282,True,0.226,0.0134,1.22e-05,0.0787,0.6509999999999999,127.973,4.0
2,#thatPOWERwill.i.am Featuring Justin Bieber,17,2013,will.i.am Featuring Justin Bieber,#thatPOWER,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",01TuObJVd7owWchVRuQbQw,,#willpower (Deluxe),False,279506.0,68.0,0.797,0.608,6.0,-6.096,False,0.0583,0.00112,7.659999999999999e-05,0.0748,0.40299999999999997,128.0,4.0
3,$ave Dat MoneyLil Dicky Featuring Fetty Wap & Rich Homie Quan,71,2015,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,"['pop rap', 'rap']",6AoYWCzsDls6c61Zp5qTuU,https://p.scdn.co/mp3-preview/c02398a0ba7009d8ab0d410e6e8c162cd2f543f0?cid=b8d3901151d34489a160e3cf0ab1fa94,Professional Rapper,True,290835.0,71.0,0.858,0.6970000000000001,2.0,-5.361000000000001,True,0.23,0.114,0.0,0.22399999999999998,0.364,98.012,4.0
4,'Til Summer Comes AroundKeith Urban,58,2010,Keith Urban,'Til Summer Comes Around,"['australian country', 'contemporary country', 'country', 'country road']",1CKmI1IQjVEVB3F7VmJmM3,,Defying Gravity,False,331466.0,42.0,0.57,0.629,9.0,-7.608,False,0.0331,0.593,0.000136,0.77,0.308,127.90700000000001,4.0
5,(I've Had) The Time Of My LifeGlee Cast,38,2010,Glee Cast,(I've Had) The Time Of My Life,"['glee club', 'hollywood', 'post-teen pop']",1wYDz3NuqlGxPnQDX8OuV6,https://p.scdn.co/mp3-preview/160f06753d3555c8699ed1d9165de2c79c076023?cid=b8d3901151d34489a160e3cf0ab1fa94,Glee: The Musi,False,277560.0,49.0,0.45899999999999996,0.77,9.0,-5.996,True,0.0472,0.0765,0.0,0.0879,0.168,110.705,4.0
6,(If You're Wondering If I Want You To) I Want You ToWeezer,95,2010,Weezer,(If You're Wondering If I Want You To) I Want You To,"['alternative rock', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",09aDV0TC2RfWFU5IwZfIdG,,Raditude (Deluxe),False,208773.0,51.0,0.7040000000000001,0.8690000000000001,11.0,-5.707999999999999,False,0.0442,0.0021899999999999997,0.000117,0.127,0.8,110.015,4.0
7,(It) Feels So GoodSteven Tyler,35,2011,Steven Tyler,(It) Feels So Good,['modern country rock'],3xuzbqmCALn6Ua8JeOrnZl,https://p.scdn.co/mp3-preview/401ffd88ff860f54ab5bb46b86c4be412e06e164?cid=b8d3901151d34489a160e3cf0ab1fa94,(It) Feels So Good,False,211293.0,33.0,0.738,0.9520000000000001,6.0,-3.386,False,0.0515,0.0631,0.0,0.21600000000000003,0.899,122.0,4.0
8,(Kissed You) Good NightGloriana,34,2012,Gloriana,(Kissed You) Good Night,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",0Rj68IX1WqAtceUZQGk7aa,https://p.scdn.co/mp3-preview/003038e1f66e519bbdf6c6de843bc4dbb1ecedec?cid=b8d3901151d34489a160e3cf0ab1fa94,A Thousand Miles Left Behind,False,232903.0,51.0,0.523,0.747,11.0,-6.125,True,0.0292,0.0807,0.0,0.11,0.294,118.97,4.0
9,(There's No Place Like) Home For The HolidaysPerry Como,32,2018,Perry Como,(There's No Place Like) Home For The Holidays,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']",5mKxNjNnRFpO9Muzw3Ug0u,https://p.scdn.co/mp3-preview/621164ed625563047f37a7f68d5da81f202829a8?cid=b8d3901151d34489a160e3cf0ab1fa94,Greatest Christmas Songs,False,171333.0,66.0,0.69,0.18899999999999997,0.0,-12.797,True,0.0316,0.897,0.0,0.133,0.735,78.042,4.0
